email_id,subject,email_body,claim_type,urgency,fraud_flag
73,Medical reimbursement request,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 150651 are attached. Kindly process my health insurance claim.,Health,High,No
74,Hospitalization claim submission,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 284649 are attached. Kindly process my health insurance claim.,Health,Medium,No
75,Health insurance claim for treatment,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
76,Health insurance claim for treatment,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
77,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
78,Health insurance claim for treatment,I was hospitalized due to malaria at Fortis Hospital. Medical bills amounting to Rs 220820 are attached. Kindly process my health insurance claim.,Health,High,No
79,Health insurance claim for treatment,I was hospitalized due to dengue at PGIMER Chandigarh. Medical bills amounting to Rs 193477 are attached. Kindly process my health insurance claim.,Health,Medium,No
80,Hospitalization claim submission,I was hospitalized due to malaria at PGIMER Chandigarh. Medical bills amounting to Rs 30240 are attached. Kindly process my health insurance claim.,Health,Medium,No
81,Hospitalization claim submission,I was hospitalized due to covid at Apollo Hospital. Medical bills amounting to Rs 239687 are attached. Kindly process my health insurance claim.,Health,High,No
82,Hospitalization claim submission,I was hospitalized due to covid at PGIMER Chandigarh. Medical bills amounting to Rs 35217 are attached. Kindly process my health insurance claim.,Health,Medium,No
83,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
84,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
85,Hospitalization claim submission,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 191627 are attached. Kindly process my health insurance claim.,Health,High,No
86,Hospitalization claim submission,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
87,Medical reimbursement request,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
88,Health insurance claim for treatment,I was hospitalized due to dengue at Fortis Hospital. Medical bills amounting to Rs 30684 are attached. Kindly process my health insurance claim.,Health,High,No
89,Medical reimbursement request,I was hospitalized due to fracture at AIIMS Delhi. Medical bills amounting to Rs 134276 are attached. Kindly process my health insurance claim.,Health,Medium,No
90,Health insurance claim for treatment,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
91,Hospitalization claim submission,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 216768 are attached. Kindly process my health insurance claim.,Health,Medium,No
92,Health insurance claim for treatment,I was hospitalized due to dengue at Fortis Hospital. Medical bills amounting to Rs 178116 are attached. Kindly process my health insurance claim.,Health,High,No
93,Health insurance claim for treatment,I was hospitalized due to covid at PGIMER Chandigarh. Medical bills amounting to Rs 56153 are attached. Kindly process my health insurance claim.,Health,Medium,No
94,Medical reimbursement request,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,Medium,No
95,Health insurance claim for treatment,I was hospitalized due to fracture at Fortis Hospital. Medical bills amounting to Rs 161600 are attached. Kindly process my health insurance claim.,Health,Medium,No
96,Hospitalization claim submission,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,High,No
97,Hospitalization claim submission,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
98,Medical reimbursement request,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
99,Hospitalization claim submission,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,High,No
100,Medical reimbursement request,I was hospitalized due to fracture at PGIMER Chandigarh. Medical bills amounting to Rs 145998 are attached. Kindly process my health insurance claim.,Health,Medium,No
101,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
102,Medical reimbursement request,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
103,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
104,Health insurance claim for treatment,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,High,No
105,Health insurance claim for treatment,I was hospitalized due to covid at AIIMS Delhi. Medical bills amounting to Rs 117071 are attached. Kindly process my health insurance claim.,Health,High,No
106,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
107,Medical reimbursement request,I was hospitalized due to covid at Fortis Hospital. Medical bills amounting to Rs 114079 are attached. Kindly process my health insurance claim.,Health,Medium,No
108,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
109,Health insurance claim for treatment,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
110,Hospitalization claim submission,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
111,Hospitalization claim submission,I was hospitalized due to dengue at PGIMER Chandigarh. Medical bills amounting to Rs 58840 are attached. Kindly process my health insurance claim.,Health,High,No
112,Medical reimbursement request,I was hospitalized due to typhoid at Apollo Hospital. Medical bills amounting to Rs 150123 are attached. Kindly process my health insurance claim.,Health,High,No
113,Health insurance claim for treatment,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
114,Hospitalization claim submission,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
115,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
116,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
117,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
118,Health insurance claim for treatment,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
119,Hospitalization claim submission,I was hospitalized due to typhoid at Fortis Hospital. Medical bills amounting to Rs 159267 are attached. Kindly process my health insurance claim.,Health,High,No
120,Medical reimbursement request,I was hospitalized due to malaria at Apollo Hospital. Medical bills amounting to Rs 171315 are attached. Kindly process my health insurance claim.,Health,Medium,No
121,Medical reimbursement request,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
122,Hospitalization claim submission,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 188989 are attached. Kindly process my health insurance claim.,Health,Medium,No
123,Medical reimbursement request,I was hospitalized due to malaria at AIIMS Delhi. Medical bills amounting to Rs 41092 are attached. Kindly process my health insurance claim.,Health,High,No
124,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
125,Medical reimbursement request,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
126,Medical reimbursement request,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
127,Hospitalization claim submission,I was hospitalized due to covid at Apollo Hospital. Medical bills amounting to Rs 80776 are attached. Kindly process my health insurance claim.,Health,Medium,No
128,Health insurance claim for treatment,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 48418 are attached. Kindly process my health insurance claim.,Health,High,No
129,Health insurance claim for treatment,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
130,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
131,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
132,Health insurance claim for treatment,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
133,Health insurance claim for treatment,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 163353 are attached. Kindly process my health insurance claim.,Health,Medium,No
134,Hospitalization claim submission,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
135,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
136,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
137,Medical reimbursement request,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
138,Hospitalization claim submission,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
139,Hospitalization claim submission,I was hospitalized due to covid at PGIMER Chandigarh. Medical bills amounting to Rs 222416 are attached. Kindly process my health insurance claim.,Health,High,No
140,Hospitalization claim submission,I was hospitalized due to malaria at Apollo Hospital. Medical bills amounting to Rs 250847 are attached. Kindly process my health insurance claim.,Health,High,No
141,Health insurance claim for treatment,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
142,Hospitalization claim submission,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
143,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
144,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
145,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
146,Medical reimbursement request,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
147,Medical reimbursement request,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 114401 are attached. Kindly process my health insurance claim.,Health,High,No
148,Medical reimbursement request,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 146264 are attached. Kindly process my health insurance claim.,Health,Medium,No
149,Health insurance claim for treatment,I was hospitalized due to malaria at PGIMER Chandigarh. Medical bills amounting to Rs 260947 are attached. Kindly process my health insurance claim.,Health,Medium,No
150,Health insurance claim for treatment,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 102824 are attached. Kindly process my health insurance claim.,Health,High,No
151,Hospitalization claim submission,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
152,Hospitalization claim submission,I was hospitalized due to fracture at PGIMER Chandigarh. Medical bills amounting to Rs 144364 are attached. Kindly process my health insurance claim.,Health,Medium,No
153,Health insurance claim for treatment,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
154,Hospitalization claim submission,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 280428 are attached. Kindly process my health insurance claim.,Health,Medium,No
155,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
156,Health insurance claim for treatment,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 37492 are attached. Kindly process my health insurance claim.,Health,Medium,No
157,Health insurance claim for treatment,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 237843 are attached. Kindly process my health insurance claim.,Health,High,No
158,Medical reimbursement request,I was hospitalized due to typhoid at Apollo Hospital. Medical bills amounting to Rs 283084 are attached. Kindly process my health insurance claim.,Health,Medium,No
159,Medical reimbursement request,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
160,Medical reimbursement request,I was hospitalized due to malaria at PGIMER Chandigarh. Medical bills amounting to Rs 211771 are attached. Kindly process my health insurance claim.,Health,High,No
161,Hospitalization claim submission,I was hospitalized due to covid at AIIMS Delhi. Medical bills amounting to Rs 213245 are attached. Kindly process my health insurance claim.,Health,Medium,No
162,Health insurance claim for treatment,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
163,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
164,Health insurance claim for treatment,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
165,Hospitalization claim submission,I was hospitalized due to dengue at Fortis Hospital. Medical bills amounting to Rs 91127 are attached. Kindly process my health insurance claim.,Health,Medium,No
166,Hospitalization claim submission,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
167,Health insurance claim for treatment,I was hospitalized due to fracture at PGIMER Chandigarh. Medical bills amounting to Rs 37152 are attached. Kindly process my health insurance claim.,Health,Medium,No
168,Medical reimbursement request,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
169,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
170,Medical reimbursement request,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
171,Hospitalization claim submission,I was hospitalized due to malaria at Fortis Hospital. Medical bills amounting to Rs 128610 are attached. Kindly process my health insurance claim.,Health,High,No
172,Medical reimbursement request,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
173,Health insurance claim for treatment,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
174,Hospitalization claim submission,I was hospitalized due to typhoid at Apollo Hospital. Medical bills amounting to Rs 111355 are attached. Kindly process my health insurance claim.,Health,Medium,No
175,Medical reimbursement request,I was hospitalized due to fracture at AIIMS Delhi. Medical bills amounting to Rs 269690 are attached. Kindly process my health insurance claim.,Health,Medium,No
176,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
177,Health insurance claim for treatment,I was hospitalized due to typhoid at Apollo Hospital. Medical bills amounting to Rs 36331 are attached. Kindly process my health insurance claim.,Health,High,No
178,Hospitalization claim submission,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
179,Medical reimbursement request,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
180,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
181,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
182,Hospitalization claim submission,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
183,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
184,Hospitalization claim submission,I was hospitalized due to fracture at AIIMS Delhi. Medical bills amounting to Rs 64755 are attached. Kindly process my health insurance claim.,Health,High,No
185,Hospitalization claim submission,I was hospitalized due to covid at Fortis Hospital. Medical bills amounting to Rs 51447 are attached. Kindly process my health insurance claim.,Health,Medium,No
186,Health insurance claim for treatment,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 46972 are attached. Kindly process my health insurance claim.,Health,Medium,No
187,Health insurance claim for treatment,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
188,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
189,Medical reimbursement request,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
190,Medical reimbursement request,I was hospitalized due to covid at Apollo Hospital. Medical bills amounting to Rs 204037 are attached. Kindly process my health insurance claim.,Health,High,No
191,Medical reimbursement request,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 94383 are attached. Kindly process my health insurance claim.,Health,High,No
192,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
193,Hospitalization claim submission,I was hospitalized due to covid at Apollo Hospital. Medical bills amounting to Rs 64541 are attached. Kindly process my health insurance claim.,Health,High,No
194,Medical reimbursement request,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 162660 are attached. Kindly process my health insurance claim.,Health,Medium,No
195,Health insurance claim for treatment,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
196,Health insurance claim for treatment,I was hospitalized due to covid at PGIMER Chandigarh. Medical bills amounting to Rs 168502 are attached. Kindly process my health insurance claim.,Health,Medium,No
197,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
198,Medical reimbursement request,I was hospitalized due to covid at Fortis Hospital. Medical bills amounting to Rs 153965 are attached. Kindly process my health insurance claim.,Health,Medium,No
199,Hospitalization claim submission,I was hospitalized due to dengue at PGIMER Chandigarh. Medical bills amounting to Rs 112114 are attached. Kindly process my health insurance claim.,Health,High,No
200,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
201,Hospitalization claim submission,I was hospitalized due to fracture at AIIMS Delhi. Medical bills amounting to Rs 245068 are attached. Kindly process my health insurance claim.,Health,Medium,No
202,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
203,Hospitalization claim submission,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 66205 are attached. Kindly process my health insurance claim.,Health,Medium,No
204,Medical reimbursement request,I was hospitalized due to fracture at PGIMER Chandigarh. Medical bills amounting to Rs 61233 are attached. Kindly process my health insurance claim.,Health,Medium,No
205,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
206,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
207,Medical reimbursement request,I was hospitalized due to malaria at Apollo Hospital. Medical bills amounting to Rs 110963 are attached. Kindly process my health insurance claim.,Health,High,No
208,Health insurance claim for treatment,I was hospitalized due to malaria at PGIMER Chandigarh. Medical bills amounting to Rs 255355 are attached. Kindly process my health insurance claim.,Health,Medium,No
209,Health insurance claim for treatment,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
210,Health insurance claim for treatment,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
211,Hospitalization claim submission,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,Medium,No
